Teacher,School Level,Year Level,Section,Subject,Day,Start Time,End Time
"JHS Teacher 01","JHS","Grade 7","Rizal","English","Monday","07:30","08:20"
"JHS Teacher 01","JHS","Grade 7","Rizal","English","Tuesday","07:30","08:20"
"JHS Teacher 01","JHS","Grade 7","Rizal","English","Wednesday","07:30","08:20"
"JHS Teacher 01","JHS","Grade 7","Rizal","English","Thursday","07:30","08:20"
"JHS Teacher 01","JHS","Grade 7","Rizal","English","Friday","07:30","08:20"
"JHS Teacher 02","JHS","Grade 7","Bonifacio","English","Monday","07:30","08:20"
"JHS Teacher 02","JHS","Grade 7","Bonifacio","English","Tuesday","07:30","08:20"
"JHS Teacher 02","JHS","Grade 7","Bonifacio","English","Wednesday","07:30","08:20"
"JHS Teacher 02","JHS","Grade 7","Bonifacio","English","Thursday","07:30","08:20"
"JHS Teacher 02","JHS","Grade 7","Bonifacio","English","Friday","07:30","08:20"
"JHS Teacher 03","JHS","Grade 7","Mabini","English","Monday","07:30","08:20"
"JHS Teacher 03","JHS","Grade 7","Mabini","English","Tuesday","07:30","08:20"
"JHS Teacher 03","JHS","Grade 7","Mabini","English","Wednesday","07:30","08:20"
"JHS Teacher 03","JHS","Grade 7","Mabini","English","Thursday","07:30","08:20"
"JHS Teacher 03","JHS","Grade 7","Mabini","English","Friday","07:30","08:20"
"JHS Teacher 04","JHS","Grade 7","Luna","English","Monday","07:30","08:20"
"JHS Teacher 04","JHS","Grade 7","Luna","English","Tuesday","07:30","08:20"
"JHS Teacher 04","JHS","Grade 7","Luna","English","Wednesday","07:30","08:20"
"JHS Teacher 04","JHS","Grade 7","Luna","English","Thursday","07:30","08:20"
"JHS Teacher 04","JHS","Grade 7","Luna","English","Friday","07:30","08:20"
"JHS Teacher 05","JHS","Grade 8","Rizal","English","Monday","07:30","08:20"
"JHS Teacher 05","JHS","Grade 8","Rizal","English","Tuesday","07:30","08:20"
"JHS Teacher 05","JHS","Grade 8","Rizal","English","Wednesday","07:30","08:20"
"JHS Teacher 05","JHS","Grade 8","Rizal","English","Thursday","07:30","08:20"
"JHS Teacher 05","JHS","Grade 8","Rizal","English","Friday","07:30","08:20"
"JHS Teacher 06","JHS","Grade 8","Bonifacio","English","Monday","07:30","08:20"
"JHS Teacher 06","JHS","Grade 8","Bonifacio","English","Tuesday","07:30","08:20"
"JHS Teacher 06","JHS","Grade 8","Bonifacio","English","Wednesday","07:30","08:20"
"JHS Teacher 06","JHS","Grade 8","Bonifacio","English","Thursday","07:30","08:20"
"JHS Teacher 06","JHS","Grade 8","Bonifacio","English","Friday","07:30","08:20"
"JHS Teacher 07","JHS","Grade 8","Mabini","English","Monday","07:30","08:20"
"JHS Teacher 07","JHS","Grade 8","Mabini","English","Tuesday","07:30","08:20"
"JHS Teacher 07","JHS","Grade 8","Mabini","English","Wednesday","07:30","08:20"
"JHS Teacher 07","JHS","Grade 8","Mabini","English","Thursday","07:30","08:20"
"JHS Teacher 07","JHS","Grade 8","Mabini","English","Friday","07:30","08:20"
"JHS Teacher 08","JHS","Grade 8","Luna","English","Monday","07:30","08:20"
"JHS Teacher 08","JHS","Grade 8","Luna","English","Tuesday","07:30","08:20"
"JHS Teacher 08","JHS","Grade 8","Luna","English","Wednesday","07:30","08:20"
"JHS Teacher 08","JHS","Grade 8","Luna","English","Thursday","07:30","08:20"
"JHS Teacher 08","JHS","Grade 8","Luna","English","Friday","07:30","08:20"
"JHS Teacher 09","JHS","Grade 9","Rizal","English","Monday","07:30","08:20"
"JHS Teacher 09","JHS","Grade 9","Rizal","English","Tuesday","07:30","08:20"
"JHS Teacher 09","JHS","Grade 9","Rizal","English","Wednesday","07:30","08:20"
"JHS Teacher 09","JHS","Grade 9","Rizal","English","Thursday","07:30","08:20"
"JHS Teacher 09","JHS","Grade 9","Rizal","English","Friday","07:30","08:20"
"JHS Teacher 10","JHS","Grade 9","Bonifacio","English","Monday","07:30","08:20"
"JHS Teacher 10","JHS","Grade 9","Bonifacio","English","Tuesday","07:30","08:20"
"JHS Teacher 10","JHS","Grade 9","Bonifacio","English","Wednesday","07:30","08:20"
"JHS Teacher 10","JHS","Grade 9","Bonifacio","English","Thursday","07:30","08:20"
"JHS Teacher 10","JHS","Grade 9","Bonifacio","English","Friday","07:30","08:20"
